@relation Dry_Beans_Dataset-weka.filters.unsupervised.instance.Randomize-S98225-weka.filters.unsupervised.instance.Randomize-S98225-weka.filters.unsupervised.instance.Randomize-S98225-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V

@attribute Area numeric
@attribute Perimeter numeric
@attribute MajorAxisLength numeric
@attribute MinorAxisLength numeric
@attribute AspectRation numeric
@attribute Eccentricity numeric
@attribute ConvexArea numeric
@attribute EquivDiameter numeric
@attribute Extent numeric
@attribute Solidity numeric
@attribute roundness numeric
@attribute Compactness numeric
@attribute ShapeFactor1 numeric
@attribute ShapeFactor2 numeric
@attribute ShapeFactor3 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
30210,651.194,254.800257,151.387457,1.6831,0.80436,30507,196.123855,0.788608,0.990265,0.895241,0.769716,0.008434,0.001826,0.592463,0.997174,DERMASON
40272,723.726,249.722913,205.523124,1.21506,0.568035,40551,226.441831,0.768476,0.99312,0.966195,0.906772,0.006201,0.002586,0.822236,0.999066,SEKER
38858,753.174,280.915962,176.562975,1.591024,0.777789,39287,222.430983,0.690809,0.98908,0.860795,0.791806,0.007229,0.001753,0.626957,0.997504,SIRA
32741,664.125,246.195544,169.565166,1.451923,0.725007,33053,204.174278,0.730174,0.990561,0.932829,0.829318,0.007519,0.002194,0.687768,0.998585,DERMASON
34304,690.332,261.590854,167.311521,1.563496,0.768714,34717,208.990931,0.693514,0.988104,0.904563,0.798923,0.007626,0.001916,0.638278,0.997945,DERMASON
39451,742.1,278.384602,180.723853,1.540387,0.760628,39878,224.121782,0.799899,0.989292,0.900208,0.80508,0.007056,0.001829,0.648153,0.998407,SIRA
44554,792.192,301.969481,188.986232,1.597839,0.779947,45098,238.176226,0.78132,0.987937,0.892145,0.788743,0.006778,0.001618,0.622115,0.994039,SIRA
54791,928.894,359.094872,195.498927,1.836812,0.838812,55671,264.125099,0.800079,0.984193,0.79797,0.73553,0.006554,0.001183,0.541005,0.993724,HOROZ
33735,693.2,264.656946,162.649106,1.627165,0.788866,34169,207.250419,0.726046,0.987298,0.882213,0.783091,0.007845,0.00182,0.613231,0.997828,DERMASON
75775,1074.69,414.554219,234.117586,1.770709,0.825265,76841,310.611858,0.714966,0.986127,0.82446,0.749267,0.005471,0.001064,0.561401,0.994079,CALI
40660,750.676,279.975246,185.868636,1.506307,0.747843,41115,227.530042,0.794886,0.988933,0.906718,0.812679,0.006886,0.001853,0.660447,0.994837,SIRA
65237,1047.249,406.676911,207.159978,1.963106,0.860532,66566,288.205358,0.832041,0.980035,0.747488,0.708684,0.006234,0.00097,0.502233,0.985936,HOROZ
43638,767.847,268.271885,207.675662,1.291783,0.633034,44135,235.71514,0.741475,0.988739,0.930091,0.878643,0.006148,0.00226,0.772013,0.997273,SEKER
50537,848.108,320.963627,201.476975,1.593054,0.778435,51199,253.664556,0.725189,0.98707,0.882911,0.790322,0.006351,0.001528,0.624609,0.995035,SIRA
47252,819.854,315.998213,191.263531,1.652161,0.796022,47690,245.281705,0.796454,0.990816,0.883399,0.776212,0.006688,0.001497,0.602506,0.995436,SIRA
77276,1089.189,430.743098,231.19266,1.863135,0.843754,78423,313.673172,0.708616,0.985374,0.818555,0.728214,0.005574,0.000967,0.530296,0.988012,CALI
28671,627.304,234.454272,156.142037,1.501545,0.745969,29059,191.06295,0.742003,0.986648,0.915581,0.814926,0.008177,0.002225,0.664105,0.997183,DERMASON
37387,708.411,256.192684,186.413043,1.374328,0.685972,37759,218.180216,0.71705,0.990148,0.936181,0.851625,0.006852,0.002223,0.725266,0.996753,DERMASON
44822,821.276,320.76791,178.4209,1.797816,0.831028,45441,238.891488,0.783054,0.986378,0.83507,0.744749,0.007156,0.001358,0.554651,0.99716,SIRA
68632,1009.219,390.756362,226.278945,1.726879,0.815271,69718,295.6095,0.685634,0.984423,0.84677,0.756506,0.005694,0.00115,0.572301,0.988295,CALI
35777,685.863,221.319945,206.193122,1.073362,0.363352,36174,213.430764,0.79717,0.989025,0.955738,0.964354,0.006186,0.0033,0.929979,0.998204,SEKER
41372,763.305,286.857558,183.861572,1.560182,0.767582,41820,229.513543,0.779016,0.989287,0.892319,0.800096,0.006934,0.001753,0.640153,0.998756,SIRA
48535,823.619,310.875714,199.27062,1.560068,0.767543,48986,248.589383,0.791865,0.990793,0.899109,0.799642,0.006405,0.001615,0.639428,0.997551,SIRA
57812,941.036,343.090121,215.465539,1.59232,0.778202,58931,271.30891,0.783212,0.981012,0.820381,0.79078,0.005935,0.001432,0.625333,0.995731,BARBUNYA
54282,879.376,327.520612,211.599549,1.547832,0.763283,54920,262.895395,0.760316,0.988383,0.882097,0.802684,0.006034,0.001545,0.644301,0.99727,SIRA
40991,757.012,273.837271,191.164215,1.432471,0.716006,41456,228.454289,0.723673,0.988783,0.898862,0.83427,0.00668,0.001996,0.696007,0.99701,SIRA
35634,685.864,235.123045,193.217862,1.21688,0.569814,36006,213.003798,0.784285,0.989668,0.951916,0.905925,0.006598,0.002741,0.8207,0.998694,SEKER
78865,1075.999,414.047043,244.983272,1.690103,0.806173,79578,316.881739,0.741938,0.99104,0.855993,0.765328,0.00525,0.001111,0.585727,0.989939,CALI
52004,905.142,367.797717,181.828189,2.022776,0.869252,52771,257.319936,0.639184,0.985466,0.797651,0.699624,0.007072,0.001045,0.489473,0.990094,HOROZ
41536,742.954,260.905814,202.926665,1.285715,0.62854,41893,229.967993,0.739483,0.991478,0.945607,0.881421,0.006281,0.002339,0.776904,0.998877,SEKER
81815,1100.953,426.400082,246.612065,1.729032,0.815783,82888,322.753921,0.694643,0.987055,0.848214,0.756927,0.005212,0.001055,0.572939,0.99063,CALI
91565,1153.995,453.361078,259.484604,1.74716,0.820004,92497,341.444254,0.785292,0.989924,0.864035,0.75314,0.004951,0.000983,0.56722,0.991023,CALI
40024,724.462,240.429845,212.085283,1.133647,0.471046,40386,225.743526,0.766655,0.991036,0.958295,0.938916,0.006007,0.00288,0.881564,0.999382,SEKER
29149,638.688,243.980794,152.660434,1.598193,0.780058,29460,192.649058,0.798647,0.989443,0.897958,0.789607,0.00837,0.002007,0.62348,0.996441,DERMASON
34990,700.748,257.018073,174.021504,1.476933,0.73591,35507,211.070253,0.768336,0.985439,0.895427,0.821227,0.007345,0.002061,0.674414,0.996065,SIRA
66985,1009.144,340.088256,251.151702,1.354115,0.674265,68137,292.041009,0.729764,0.983093,0.826573,0.858721,0.005077,0.001703,0.737402,0.998527,BARBUNYA
41448,780.947,293.109656,180.726138,1.621844,0.787291,42042,229.724254,0.690432,0.985871,0.854024,0.783749,0.007072,0.001646,0.614262,0.996237,SIRA
31657,658.62,245.213501,164.897629,1.487065,0.740128,32029,200.765894,0.783105,0.988386,0.917085,0.818739,0.007746,0.002147,0.670334,0.99683,DERMASON
32514,649.012,221.44549,187.134423,1.18335,0.534674,32843,203.465256,0.784983,0.989983,0.970007,0.918805,0.006811,0.002994,0.844203,0.998987,SEKER
28186,616.055,223.290711,161.410201,1.383374,0.690984,28485,189.440043,0.747679,0.989503,0.933264,0.848401,0.007922,0.002532,0.719784,0.995731,DERMASON
35693,680.082,229.622685,198.089395,1.159187,0.505761,35997,213.180063,0.779544,0.991555,0.969774,0.928393,0.006433,0.002948,0.861913,0.999119,SEKER
32572,675.095,248.010145,167.830993,1.477737,0.736249,32995,203.646651,0.75482,0.98718,0.8981,0.821122,0.007614,0.002135,0.674242,0.996352,DERMASON
73623,1101.269,428.512181,219.708065,1.950371,0.858554,74981,306.169422,0.754504,0.981889,0.762845,0.714494,0.00582,0.000936,0.510502,0.995668,BARBUNYA
46515,815.292,298.506464,199.625206,1.495335,0.74349,47147,243.361331,0.689561,0.986595,0.87938,0.815263,0.006417,0.001749,0.664654,0.99388,SIRA
25507,598.818,225.411438,144.648235,1.558342,0.766949,25871,180.212433,0.759137,0.98593,0.893881,0.799482,0.008837,0.002227,0.639172,0.996048,DERMASON
35186,701.866,255.779241,175.315884,1.458962,0.728149,35637,211.660593,0.759366,0.987345,0.897576,0.827513,0.007269,0.002103,0.684777,0.999064,DERMASON
58891,981.815,347.196933,216.402064,1.604407,0.781996,60173,273.829053,0.758602,0.978695,0.767714,0.788685,0.005896,0.001407,0.622024,0.99798,BARBUNYA
29283,620.528,220.782077,169.18052,1.305009,0.642509,29618,193.091361,0.802186,0.988689,0.955658,0.874579,0.00754,0.002721,0.764888,0.998186,DERMASON
30985,646.637,231.021895,171.362009,1.348151,0.670669,31389,198.623582,0.783241,0.987129,0.931194,0.859761,0.007456,0.002513,0.739189,0.996538,DERMASON
78934,1118.223,432.372893,236.101446,1.831301,0.837746,80988,317.020331,0.772613,0.974638,0.793263,0.73321,0.005478,0.000977,0.537598,0.984503,CALI
29220,628.213,231.798549,160.853288,1.441056,0.720037,29562,192.883539,0.765924,0.988431,0.930414,0.832117,0.007933,0.002346,0.692419,0.997814,DERMASON
43317,778.174,289.881798,190.685213,1.520211,0.75319,43794,234.846583,0.735283,0.989108,0.898907,0.810146,0.006692,0.001778,0.656337,0.99777,SIRA
73353,1059.701,381.771286,245.985693,1.552006,0.76475,74671,305.607494,0.677764,0.982349,0.820845,0.800499,0.005205,0.001318,0.640798,0.994523,BARBUNYA
214563,1765.021,659.112828,417.529089,1.578603,0.773766,217833,522.6759,0.737771,0.984989,0.865496,0.792999,0.003072,0.000749,0.628848,0.992701,BOMBAY
40101,782.797,312.099907,164.072804,1.902204,0.850666,40619,225.96057,0.710633,0.987247,0.822369,0.724001,0.007783,0.001319,0.524177,0.997092,HOROZ
23644,564.881,203.37404,148.588589,1.368706,0.682787,23947,173.506414,0.733375,0.987347,0.931144,0.853139,0.008602,0.002811,0.727847,0.996208,DERMASON
35304,686.408,234.615823,192.04541,1.221668,0.574431,35737,212.015209,0.789905,0.987884,0.941606,0.90367,0.006646,0.002734,0.816619,0.997638,SEKER
51339,889.001,360.441266,181.940501,1.981094,0.863253,51958,255.669406,0.637593,0.988087,0.816306,0.709323,0.007021,0.001096,0.50314,0.996767,HOROZ
37838,702.47,242.014171,199.374018,1.21387,0.566864,38142,219.492227,0.777887,0.99203,0.963568,0.90694,0.006396,0.002669,0.822539,0.998456,SEKER
26712,611.795,230.626725,147.778583,1.560623,0.767733,27053,184.420104,0.747419,0.987395,0.896818,0.799648,0.008634,0.002178,0.639436,0.997919,DERMASON
38495,797.002,250.954017,195.950668,1.2807,0.624752,39373,221.389603,0.76543,0.9777,0.761545,0.882192,0.006519,0.002436,0.778263,0.996721,SEKER
54224,907.212,369.168955,187.664645,1.967174,0.861154,54797,262.754907,0.80771,0.989543,0.827911,0.711747,0.006808,0.001078,0.506584,0.996538,HOROZ
21570,538.454,196.53728,139.877303,1.405069,0.702475,21820,165.721987,0.81246,0.988543,0.934895,0.843209,0.009112,0.002841,0.711001,0.999006,DERMASON
79544,1088.996,393.179191,258.768051,1.519427,0.752893,80500,318.242936,0.828583,0.988124,0.842878,0.809409,0.004943,0.001309,0.655144,0.995443,BARBUNYA
31335,675.752,249.15212,160.864722,1.54883,0.763635,31862,199.742237,0.710496,0.98346,0.862313,0.801688,0.007951,0.002026,0.642703,0.995438,DERMASON
26572,611.198,231.728919,146.252112,1.584448,0.775673,26894,183.936188,0.792815,0.988027,0.893862,0.793756,0.008721,0.002135,0.630048,0.998279,DERMASON
69518,1013.957,393.94202,228.429657,1.724566,0.814719,71385,297.511456,0.748085,0.973846,0.849705,0.755216,0.005667,0.001137,0.570352,0.983609,CALI
39060,746.25,276.002777,180.898919,1.525729,0.755261,39642,223.008378,0.81431,0.985319,0.881401,0.807993,0.007066,0.001858,0.652853,0.996077,SIRA
66062,1010.706,357.660276,236.03259,1.5153,0.751323,67275,290.021983,0.70863,0.98197,0.812666,0.810887,0.005414,0.001444,0.657537,0.996367,BARBUNYA
40000,738.009,264.589049,192.765996,1.372592,0.684994,40470,225.675833,0.727564,0.988386,0.922883,0.85293,0.006615,0.002159,0.727489,0.998545,SEKER
29462,626.054,229.748882,163.585807,1.404455,0.702159,29730,193.680622,0.779604,0.990986,0.944601,0.84301,0.007798,0.002429,0.710666,0.998098,DERMASON
78217,1171.758,400.52414,249.430405,1.605755,0.782413,80156,315.577213,0.696376,0.97581,0.715872,0.787911,0.005121,0.001217,0.620803,0.996858,BARBUNYA
46471,814.123,309.820962,192.026374,1.613429,0.784761,47043,243.246202,0.799707,0.987841,0.881073,0.785119,0.006667,0.001563,0.616411,0.994536,SIRA
30306,649.051,241.220188,160.485242,1.503068,0.746571,30694,196.435225,0.76253,0.987359,0.904026,0.81434,0.007959,0.002159,0.663149,0.996759,DERMASON
63962,979.26,377.974519,216.816579,1.743292,0.819116,64599,285.3751,0.81929,0.990139,0.838177,0.755011,0.005909,0.001184,0.570042,0.99375,CALI
62835,997.065,347.042907,231.054049,1.501999,0.746149,63990,282.849795,0.783948,0.98195,0.794263,0.815028,0.005523,0.001503,0.664271,0.997734,BARBUNYA
32541,675.258,243.637208,171.805459,1.418099,0.709039,33058,203.549719,0.811982,0.984361,0.896812,0.835462,0.007487,0.00225,0.697997,0.98983,DERMASON
226687,1839.808,720.695521,405.537241,1.777138,0.826659,231500,537.240033,0.758384,0.97921,0.841572,0.745447,0.003179,0.000606,0.555691,0.987539,BOMBAY
57436,897.247,337.874521,217.015749,1.556912,0.766456,57931,270.425196,0.778519,0.991455,0.896541,0.800372,0.005883,0.001489,0.640595,0.99735,SIRA
56521,936.644,346.832371,208.222925,1.665678,0.799733,57353,268.262506,0.814893,0.985493,0.8096,0.773464,0.006136,0.001355,0.598247,0.996487,BARBUNYA
62597,979.535,393.490669,203.496937,1.933644,0.85589,63249,282.313612,0.640483,0.989692,0.819829,0.717459,0.006286,0.001027,0.514748,0.99534,HOROZ
36300,689.826,246.702511,187.537229,1.315486,0.649718,36646,214.985105,0.777468,0.990558,0.9586,0.871435,0.006796,0.002418,0.759398,0.998977,DERMASON
55612,982.961,389.454975,183.590317,2.121326,0.881918,56771,266.096594,0.610048,0.979585,0.723279,0.683254,0.007003,0.000941,0.466836,0.990311,HOROZ
35083,685.515,227.984773,196.194184,1.162036,0.509352,35477,211.350569,0.782701,0.988894,0.938151,0.927038,0.006498,0.002961,0.8594,0.998654,SEKER
149824,1454.249,532.782226,359.670821,1.481305,0.737744,151188,436.762912,0.823209,0.990978,0.890254,0.819778,0.003556,0.000991,0.672035,0.995489,BOMBAY
25799,596.614,227.011882,144.942118,1.566224,0.76964,26040,181.241019,0.716201,0.990745,0.910806,0.798377,0.008799,0.002205,0.637406,0.99832,DERMASON
42070,760.701,276.691651,193.945366,1.426647,0.713216,42458,231.441543,0.730813,0.990862,0.913596,0.83646,0.006577,0.001986,0.699666,0.998176,DERMASON
38278,743.116,282.045862,173.582183,1.624855,0.788184,38714,220.764724,0.732958,0.988738,0.871056,0.782726,0.007368,0.001706,0.612661,0.995484,SIRA
57104,946.381,391.594965,186.818054,2.09613,0.878866,57747,269.642487,0.734977,0.988865,0.801206,0.688575,0.006858,0.000951,0.474135,0.99385,HOROZ
39514,721.708,258.223406,195.142818,1.323253,0.654903,39854,224.300663,0.763334,0.991469,0.953318,0.86863,0.006535,0.002295,0.754519,0.998419,SEKER
51531,894.44,349.842057,189.146894,1.849579,0.841239,52439,256.147042,0.647114,0.982685,0.809424,0.732179,0.006789,0.001204,0.536086,0.991534,HOROZ
36839,693.645,239.666124,195.872664,1.223581,0.576251,37173,216.575325,0.793773,0.991015,0.962151,0.903654,0.006506,0.002676,0.816591,0.999166,SEKER
32915,681.518,263.193321,160.106236,1.643867,0.79369,33250,204.716095,0.836043,0.989925,0.890531,0.777816,0.007996,0.001805,0.604998,0.994537,DERMASON
66795,1062.267,433.548483,196.739469,2.203668,0.891109,67831,291.626534,0.595034,0.984727,0.743852,0.67265,0.006491,0.00082,0.452458,0.997068,HOROZ
198671,1686.769,623.270382,410.10045,1.519799,0.753034,201134,502.947088,0.792427,0.987754,0.877472,0.806948,0.003137,0.000821,0.651166,0.989641,BOMBAY
68888,1043.465,435.584953,202.527185,2.150748,0.885335,69678,296.160304,0.626146,0.988662,0.795056,0.679914,0.006323,0.000834,0.462283,0.994254,HOROZ
39703,720.914,248.612089,203.453153,1.221962,0.574712,40053,224.836451,0.763769,0.991262,0.959989,0.904367,0.006262,0.002584,0.817879,0.999417,SEKER
50832,887.371,366.188565,178.018133,2.05703,0.873882,51485,254.403838,0.804431,0.987317,0.811216,0.694735,0.007204,0.001035,0.482656,0.992838,HOROZ
29158,626.228,229.049829,162.290803,1.411354,0.705671,29440,192.678797,0.785972,0.990421,0.934335,0.841209,0.007855,0.002426,0.707633,0.998721,DERMASON
59295,964.167,350.030228,216.352452,1.61787,0.786102,60252,274.766699,0.776723,0.984117,0.801537,0.78498,0.005903,0.001383,0.616193,0.996921,BARBUNYA
39661,749.249,287.237013,176.080175,1.631285,0.790072,40097,224.717497,0.706642,0.989126,0.887812,0.782342,0.007242,0.001674,0.612059,0.998442,DERMASON
53929,918.433,381.008405,181.175168,2.102984,0.879708,54506,262.039187,0.823469,0.989414,0.80341,0.687752,0.007065,0.000975,0.473002,0.994716,HOROZ
60147,957.495,384.500062,200.828982,1.914565,0.852754,60778,276.733697,0.770385,0.989618,0.824424,0.719723,0.006393,0.001058,0.518002,0.991748,HOROZ
32186,671.257,247.045653,166.286529,1.485662,0.739551,32572,202.43638,0.764858,0.988149,0.897634,0.819429,0.007676,0.002135,0.671464,0.997569,DERMASON
49743,838.536,312.394878,203.671823,1.533815,0.758245,50318,251.663972,0.790023,0.988573,0.888993,0.805596,0.00628,0.001632,0.648984,0.995422,SIRA
50683,861.87,336.139751,192.741212,1.743995,0.819278,51326,254.030707,0.733346,0.987472,0.85741,0.755729,0.006632,0.001334,0.571127,0.996043,SIRA
35536,709.556,271.879536,168.071855,1.617639,0.786033,36063,212.710697,0.796164,0.985387,0.886962,0.782371,0.007651,0.001768,0.612105,0.990164,DERMASON
68062,1016.666,375.280673,232.548336,1.613775,0.784866,69176,294.379398,0.737384,0.983896,0.827481,0.784425,0.005514,0.001288,0.615322,0.992991,BARBUNYA
67055,1011.117,396.767831,217.68541,1.822666,0.836054,68471,292.193562,0.797363,0.97932,0.824211,0.736435,0.005917,0.001074,0.542336,0.988497,CALI
35270,692.507,253.141246,177.924877,1.422742,0.71132,35706,211.913092,0.730984,0.987789,0.924202,0.837134,0.007177,0.002174,0.700793,0.997048,DERMASON
47225,910.43,358.030873,169.345799,2.1142,0.881067,48275,245.211618,0.603468,0.97825,0.71596,0.68489,0.007581,0.001029,0.469074,0.991716,HOROZ
44258,832.579,334.904744,169.468669,1.976204,0.862521,44909,237.383731,0.658562,0.985504,0.802326,0.70881,0.007567,0.001178,0.502411,0.992867,HOROZ
34629,670.997,233.131221,189.682875,1.229058,0.581381,34915,209.978599,0.745816,0.991809,0.966515,0.900688,0.006732,0.002733,0.81124,0.99706,SEKER
62596,950.343,363.779254,221.283925,1.643948,0.793714,63740,282.311357,0.791173,0.982052,0.870955,0.776051,0.005812,0.0013,0.602256,0.990077,CALI
42070,763.489,289.022373,186.123434,1.552853,0.765046,42556,231.441543,0.768823,0.98858,0.906936,0.800774,0.00687,0.001743,0.641239,0.99575,DERMASON
46847,808.233,310.777113,192.93581,1.61078,0.783955,47388,244.22828,0.70126,0.988584,0.901194,0.785863,0.006634,0.001561,0.617581,0.994787,SIRA
57062,947.339,387.125432,188.784729,2.050618,0.873035,57764,269.543308,0.618444,0.987847,0.798999,0.696269,0.006784,0.000984,0.48479,0.994119,HOROZ
40125,738.378,275.637443,185.812657,1.483416,0.738622,40508,226.028177,0.774614,0.990545,0.924842,0.82002,0.006869,0.001916,0.672433,0.997497,DERMASON
71275,1008.785,371.775842,245.295618,1.515624,0.751446,72348,301.247653,0.790127,0.985169,0.880136,0.810294,0.005216,0.001387,0.656576,0.995122,BARBUNYA
24375,577.745,206.656173,151.374299,1.3652,0.680774,24670,176.168141,0.804455,0.988042,0.917661,0.85247,0.008478,0.002762,0.726705,0.992097,DERMASON
43314,783.459,284.043407,196.07989,1.448611,0.723507,44156,234.83845,0.721611,0.980931,0.886759,0.82677,0.006558,0.00189,0.683548,0.990195,SIRA
41609,769.25,283.624298,187.307909,1.514214,0.750906,42259,230.16999,0.735856,0.984619,0.883613,0.811531,0.006816,0.001824,0.658583,0.997236,SIRA
58500,935.208,380.083222,196.993245,1.929423,0.855205,58982,272.91851,0.772951,0.991828,0.840522,0.718049,0.006497,0.001065,0.515595,0.9948,HOROZ
51641,893.914,360.507025,184.194274,1.957211,0.859622,52251,256.420287,0.626544,0.988326,0.812107,0.711277,0.006981,0.001102,0.505915,0.990182,HOROZ
175717,1585.869,593.695292,380.322431,1.561031,0.767873,178427,473.000881,0.802207,0.984812,0.877989,0.796706,0.003379,0.00084,0.634741,0.990851,BOMBAY
52502,895.985,349.762223,192.650738,1.815525,0.834634,53247,258.549072,0.662076,0.986009,0.821834,0.739214,0.006662,0.001227,0.546437,0.99207,HOROZ
28555,634.899,231.41315,157.659206,1.467806,0.732015,28992,190.676048,0.793194,0.984927,0.89019,0.823964,0.008104,0.002304,0.678916,0.996517,DERMASON
32858,669.885,247.760391,169.160488,1.464647,0.730644,33196,204.538762,0.765207,0.989818,0.920133,0.825551,0.00754,0.00216,0.681534,0.998207,DERMASON
50405,849.668,323.217556,199.81469,1.617587,0.786017,51119,253.33306,0.786116,0.986033,0.877374,0.783785,0.006412,0.001493,0.614319,0.993714,SIRA
44090,789.911,289.940163,194.457835,1.491018,0.741744,44729,236.932757,0.720896,0.985714,0.88796,0.817178,0.006576,0.001809,0.66778,0.995672,SIRA
30200,642.56,241.805762,159.427216,1.516716,0.751863,30530,196.091393,0.798055,0.989191,0.919156,0.810946,0.008007,0.002136,0.657633,0.997443,DERMASON
59442,975.979,402.887444,190.14946,2.118794,0.881616,60289,275.107079,0.732468,0.985951,0.784192,0.682839,0.006778,0.000909,0.466268,0.987927,HOROZ
60966,988.175,387.299047,209.459412,1.849041,0.841138,63362,278.611418,0.616503,0.962186,0.784567,0.71937,0.006353,0.001049,0.517494,0.956867,HOROZ
30774,651.553,247.016673,159.024164,1.553328,0.765211,31142,197.946139,0.734551,0.988183,0.91095,0.801347,0.008027,0.002042,0.642157,0.997481,DERMASON
39003,746.686,285.194055,174.922002,1.630407,0.789816,39523,222.845601,0.678608,0.986843,0.879087,0.781382,0.007312,0.001681,0.610558,0.995459,DERMASON
24056,568.914,200.985274,152.607874,1.317005,0.650742,24406,175.011572,0.779874,0.985659,0.933985,0.870768,0.008355,0.002963,0.758237,0.998602,DERMASON
41724,769.477,282.902423,189.429935,1.493441,0.742727,42394,230.487845,0.691711,0.984196,0.885533,0.814726,0.00678,0.001843,0.663778,0.991313,SIRA
36613,697.658,233.050204,200.353567,1.163195,0.510797,36993,215.90998,0.75703,0.989728,0.945279,0.926453,0.006365,0.002893,0.858315,0.998387,SEKER
43886,773.792,289.896057,193.321899,1.499551,0.745177,44317,236.38399,0.76187,0.990275,0.921059,0.815409,0.006606,0.001801,0.664893,0.99704,HOROZ
27993,615.568,227.033166,157.187533,1.444346,0.721557,28289,188.790346,0.740556,0.989537,0.92834,0.831554,0.00811,0.002392,0.691482,0.998739,DERMASON
59411,961.532,382.265448,201.873763,1.893587,0.849183,60199,275.035333,0.690826,0.98691,0.807512,0.719488,0.006434,0.001064,0.517663,0.980239,HOROZ
52058,930.035,379.498399,176.183826,2.153991,0.885702,52903,257.453499,0.820224,0.984027,0.756308,0.678405,0.00729,0.000952,0.460233,0.991338,HOROZ
33083,674.229,254.796027,165.514352,1.53942,0.76028,33428,205.237871,0.713026,0.989679,0.914534,0.805499,0.007702,0.002,0.648828,0.998819,DERMASON
47259,828.291,320.767625,188.034342,1.705899,0.810166,47818,245.299873,0.729036,0.98831,0.865622,0.764728,0.006787,0.001432,0.584808,0.997624,SIRA
29054,621.3,229.354284,161.714594,1.418266,0.709121,29351,192.334869,0.757344,0.989881,0.94583,0.838593,0.007894,0.002408,0.703238,0.997378,DERMASON
36810,724.849,274.920453,171.236781,1.605499,0.782334,37354,216.490064,0.711607,0.985437,0.880401,0.787464,0.007469,0.001772,0.6201,0.99557,SIRA
36697,701.975,248.592787,188.389501,1.319568,0.652459,37054,216.157516,0.738474,0.990365,0.93583,0.869524,0.006774,0.002389,0.756073,0.99769,DERMASON
38542,724.663,273.728756,179.666585,1.523537,0.754442,38922,221.524713,0.707063,0.990237,0.922299,0.809286,0.007102,0.001879,0.654943,0.99783,DERMASON
168972,1604.737,615.676903,353.530622,1.741509,0.818705,171065,463.833841,0.823852,0.987765,0.82455,0.753372,0.003644,0.000724,0.56757,0.988428,BOMBAY
29123,626.011,229.181056,162.042696,1.414325,0.707163,29432,192.56312,0.797628,0.989501,0.933861,0.840223,0.007869,0.002419,0.705974,0.998477,DERMASON
45743,797.357,297.968175,195.914089,1.520912,0.753455,46240,241.333372,0.704161,0.989252,0.904126,0.80993,0.006514,0.001729,0.655987,0.997698,SIRA
44515,757.601,265.59047,213.967453,1.241266,0.59242,44780,238.07196,0.771745,0.994082,0.97462,0.896387,0.005966,0.002376,0.80351,0.99737,SEKER
34366,672.823,242.708301,181.04219,1.340617,0.66603,34666,209.179708,0.758497,0.991346,0.953975,0.861856,0.007062,0.002404,0.742796,0.995806,DERMASON
